format,metric,year,number_of_records,value_actual
Kiosk,Units,1973,1,
Kiosk,Units,1974,1,
Kiosk,Units,1975,1,
Kiosk,Units,1976,1,
Kiosk,Units,1977,1,
Kiosk,Units,1978,1,
Kiosk,Units,1979,1,
Kiosk,Units,1980,1,
Kiosk,Units,1981,1,
Kiosk,Units,1982,1,
Kiosk,Units,1983,1,
Kiosk,Units,1984,1,
Kiosk,Units,1985,1,
Kiosk,Units,1986,1,
Kiosk,Units,1987,1,
Kiosk,Units,1988,1,
Kiosk,Units,1989,1,
Kiosk,Units,1990,1,
Kiosk,Units,1991,1,
Kiosk,Units,1992,1,
Kiosk,Units,1993,1,
Kiosk,Units,1994,1,
Kiosk,Units,1995,1,
Kiosk,Units,1996,1,
Kiosk,Units,1997,1,
Kiosk,Units,1998,1,
Kiosk,Units,1999,1,
Kiosk,Units,2000,1,
Kiosk,Units,2001,1,
Kiosk,Units,2002,1,
Kiosk,Units,2003,1,
Kiosk,Units,2004,1,
Kiosk,Units,2005,1,0.7
Kiosk,Units,2006,1,1.4
Kiosk,Units,2007,1,1.8
Kiosk,Units,2008,1,1.6
Kiosk,Units,2009,1,1.7
Kiosk,Units,2010,1,1.7
Kiosk,Units,2011,1,1.3
Kiosk,Units,2012,1,1.95507
Kiosk,Units,2013,1,3.7442
Kiosk,Units,2014,1,1.592073358
Kiosk,Units,2015,1,2.202659889
Kiosk,Units,2016,1,1.74878121
Kiosk,Units,2017,1,1.322377717
Kiosk,Units,2018,1,1.097856529
Kiosk,Units,2019,1,0.899703865
Download Music Video,Units,1973,1,
Download Music Video,Units,1974,1,
Download Music Video,Units,1975,1,
Download Music Video,Units,1976,1,
Download Music Video,Units,1977,1,
Download Music Video,Units,1978,1,
Download Music Video,Units,1979,1,
Download Music Video,Units,1980,1,
Download Music Video,Units,1981,1,
Download Music Video,Units,1982,1,
Download Music Video,Units,1983,1,
Download Music Video,Units,1984,1,
Download Music Video,Units,1985,1,
Download Music Video,Units,1986,1,
Download Music Video,Units,1987,1,
Download Music Video,Units,1988,1,
Download Music Video,Units,1989,1,
Download Music Video,Units,1990,1,
Download Music Video,Units,1991,1,
Download Music Video,Units,1992,1,
Download Music Video,Units,1993,1,
Download Music Video,Units,1994,1,
Download Music Video,Units,1995,1,
Download Music Video,Units,1996,1,
Download Music Video,Units,1997,1,
Download Music Video,Units,1998,1,
Download Music Video,Units,1999,1,
Download Music Video,Units,2000,1,
Download Music Video,Units,2001,1,
Download Music Video,Units,2002,1,
Download Music Video,Units,2003,1,
Download Music Video,Units,2004,1,
Download Music Video,Units,2005,1,1.9
Download Music Video,Units,2006,1,9.9
Download Music Video,Units,2007,1,14.2
Download Music Video,Units,2008,1,20.8
Download Music Video,Units,2009,1,20.5
Download Music Video,Units,2010,1,18.4
Download Music Video,Units,2011,1,16.3
Download Music Video,Units,2012,1,10.473489
Download Music Video,Units,2013,1,8.412464
Download Music Video,Units,2014,1,6.82264392
Download Music Video,Units,2015,1,3.223325002
Download Music Video,Units,2016,1,2.145427196
Download Music Video,Units,2017,1,1.399889693
Download Music Video,Units,2018,1,1.115985226
Download Music Video,Units,2019,1,0.93412583
Ringtones & Ringbacks,Units,1973,1,
Ringtones & Ringbacks,Units,1974,1,
Ringtones & Ringbacks,Units,1975,1,
Ringtones & Ringbacks,Units,1976,1,
Ringtones & Ringbacks,Units,1977,1,
Ringtones & Ringbacks,Units,1978,1,
Ringtones & Ringbacks,Units,1979,1,
Ringtones & Ringbacks,Units,1980,1,
Ringtones & Ringbacks,Units,1981,1,
Ringtones & Ringbacks,Units,1982,1,
Ringtones & Ringbacks,Units,1983,1,
Ringtones & Ringbacks,Units,1984,1,
Ringtones & Ringbacks,Units,1985,1,
